model_slug,N,T,layer,n_effective,n_censored,accuracy,q_mean,q_mean_ci_95,q_var,q_var_ci_95,q_abs_mean_exploratory,q_tail_mass,q_bimodality_bc,q_bimodality_dip,q_bimodality_dip_pval,ordered_rate,sg_label_rate,pm_rate,stagnation_after_move_rate,phase,q_count,hbar_norm_mean,hbar_norm_std
deepseek-r1-distill-qwen-7b,3,2.5,layer_mid,30,0,0.0,0.036930799474054594,"[0.029148339903175825, 0.04482152739092024]",0.007788065167955691,"[0.006636381662069915, 0.008979159073934515]",0.07156991189086356,0.0,0.38187993902131806,0.009969720771258272,1.0,0.0,0.0,1.0,0.0,paramagnetic,435,133.93938695863824,10.160862272498107
deepseek-r1-distill-qwen-7b,3,3.0,layer_mid,30,0,0.0,0.03154085944191465,"[0.024182584014836757, 0.039762694688050514]",0.0069853989539860935,"[0.005599310431057826, 0.00888984003054161]",0.06789659680316198,0.0022988505747126436,0.2512603464309288,0.010678503292020107,0.996,0.0,0.0,1.0,0.0,paramagnetic,435,131.22797918943547,11.25196156607458
deepseek-r1-distill-qwen-7b,4,0.1,layer_mid,25,0,0.08,0.08551832025610738,"[0.054022222021962565, 0.11229368677438709]",0.05932954201070371,"[0.0494937266994629, 0.06898864226154038]",0.18372706537504013,0.056666666666666664,0.3249849453827853,0.013032319061066727,0.992,0.08,0.44,0.12,0.0,spin_glass,300,57.21715216169295,44.29389085992442
deepseek-r1-distill-qwen-7b,4,0.2,layer_mid,25,0,0.0,0.05505088400466327,"[0.035896146774963986, 0.07561258636665336]",0.036794226952546666,"[0.030297524837911056, 0.0447324341462594]",0.1328392905921346,0.016666666666666666,0.39533999657512775,0.020783717436100767,0.506,0.0,0.2,0.16,0.0,spin_glass,300,86.57840338780305,58.73212193560525
deepseek-r1-distill-qwen-7b,4,0.3,layer_mid,25,0,0.12,0.07547349129210945,"[0.05365766341981766, 0.09712683737845801]",0.04154450396700037,"[0.03168715456698895, 0.05359812480442844]",0.13807215425259683,0.05,0.5480373104947882,0.014633931171693305,0.972,0.12,0.16,0.2,0.0,spin_glass,300,81.83496646870736,55.706551878600564
deepseek-r1-distill-qwen-7b,4,0.4,layer_mid,25,0,0.2,0.014689154575491999,"[-0.012105898020467945, 0.038774268506616597]",0.05361622047996353,"[0.04361637080201248, 0.06411086697591029]",0.1679351407817748,0.043333333333333335,0.40121463540477825,0.011534054334006066,1.0,0.2,0.32,0.04,0.0,spin_glass,300,53.86119414497586,47.919822214783665
deepseek-r1-distill-qwen-7b,4,0.5,layer_mid,25,0,0.2,0.043035898603833764,"[0.020057350418774798, 0.06840399358335505]",0.05194447647605296,"[0.042757753225826194, 0.061520687185853046]",0.16736764218381991,0.05,0.3370166783273352,0.012763365844066156,1.0,0.2,0.28,0.16,0.0,spin_glass,300,49.210944038031855,47.73996582852681
deepseek-r1-distill-qwen-7b,4,0.6,layer_mid,25,0,0.0,0.07722090842370062,"[0.046692630860187365, 0.1065118657359559]",0.07848521072389786,"[0.066900588534526, 0.09162125174963678]",0.224671216162374,0.08,0.36117318710714064,0.01855814484014045,0.726,0.0,0.6,0.12,0.0,spin_glass,300,40.99619334124557,31.002381721653045
deepseek-r1-distill-qwen-7b,4,0.7,layer_mid,25,0,0.08,0.08185777150320218,"[0.05967132409292545, 0.10308083403547948]",0.03622294339150546,"[0.029919231163666415, 0.04246864773242698]",0.14360787624427335,0.04,0.45718197281120204,0.01748483158206954,0.818,0.08,0.4,0.24,0.0,spin_glass,300,60.403865263347335,50.41318303919265
deepseek-r1-distill-qwen-7b,4,0.8,layer_mid,25,0,0.08,0.04849156182021718,"[0.02715735871254703, 0.07103812297775863]",0.0426569304050251,"[0.034885972184226295, 0.051495662702817496]",0.15009790846482585,0.02666666666666667,0.3513921538782539,0.01452933070755743,0.98,0.08,0.36,0.2,0.0,spin_glass,300,62.373623229048334,55.733824854706825
deepseek-r1-distill-qwen-7b,4,0.9,layer_mid,25,0,0.0,0.04138875281972235,"[0.022650928783698246, 0.05910462781733837]",0.028728875530226787,"[0.021947223212453515, 0.03518429093869163]",0.1224657180051328,0.02,0.43479718788605015,0.012851896221934958,0.998,0.0,0.12,0.36,0.0,spin_glass,300,78.02831163797629,56.2979892074127
deepseek-r1-distill-qwen-7b,4,1.0,layer_mid,25,0,0.04,0.041204330029232294,"[0.026172382263331406, 0.055801556360965565]",0.02058541521903193,"[0.01578232600538064, 0.02556335447853127]",0.09961697605162946,0.013333333333333334,0.3088350478152859,0.012171533757358646,1.0,0.04,0.16,0.16,0.0,undetermined,300,72.61247476537261,55.13156071089242
deepseek-r1-distill-qwen-7b,4,1.1,layer_mid,30,0,0.0,0.04249838170580262,"[0.03198278689468864, 0.05304621518028027]",0.013445996310759921,"[0.009671171040104398, 0.017316198478136417]",0.08025405839929282,0.013793103448275862,0.42594591105839513,0.01144016221225623,0.982,0.0,0.03333333333333333,0.5333333333333333,0.0,undetermined,435,110.7001094158244,47.612378753004
deepseek-r1-distill-qwen-7b,4,1.2,layer_mid,30,0,0.0,0.04130653950587138,"[0.03221015943514418, 0.05164215715908415]",0.010200682598013397,"[0.007497045605819092, 0.013716990549480359]",0.06580838025009247,0.004597701149425287,0.5710192138182686,0.00982272036290021,1.0,0.0,0.0,0.5666666666666667,0.0,undetermined,435,110.81308748022033,42.45384309332029
deepseek-r1-distill-qwen-7b,4,1.3,layer_mid,30,0,0.0,0.024337357437125798,"[0.017181843343201227, 0.03279061598776257]",0.006669435932211187,"[0.005656601839030353, 0.007623202075372372]",0.06514652198581476,0.0,0.355503614633714,0.012280530682855067,0.96,0.0,0.0,0.7666666666666667,0.0,paramagnetic,435,131.2456660634395,10.32324944530325
deepseek-r1-distill-qwen-7b,4,1.4,layer_mid,30,0,0.0,0.01998556667066045,"[0.013646083884984173, 0.027641484074071063]",0.005880779426591469,"[0.0049964961904849095, 0.0069198138087113266]",0.05979972102326766,0.0,0.33113212891306865,0.010838906494664853,0.998,0.0,0.0,0.8333333333333334,0.0,paramagnetic,435,123.7849852640591,18.8915379801732
deepseek-r1-distill-qwen-7b,4,1.5,layer_mid,30,0,0.0,0.02546362745138788,"[0.01819372111638546, 0.03242329371475231]",0.0067009335659606395,"[0.0054389610181809775, 0.008014713296862949]",0.06450548267433157,0.0,0.31327549916465197,0.009801502713294701,0.998,0.0,0.0,0.8666666666666667,0.0,paramagnetic,435,129.32613484814786,11.653214944430296
deepseek-r1-distill-qwen-7b,4,1.8,layer_mid,30,0,0.0,0.028495839420927375,"[0.02096253306630512, 0.03532953336730568]",0.0074414888463872,"[0.006407485999552138, 0.00863438642730139]",0.06999226207639007,0.0,0.34293214739736977,0.013850982054968736,0.884,0.0,0.0,1.0,0.0,paramagnetic,435,128.98058032539456,8.08638173009193
deepseek-r1-distill-qwen-7b,4,2.0,layer_mid,30,0,0.0,0.03102895821575644,"[0.024363652194888598, 0.03787449847422576]",0.00629280265288175,"[0.005270121053984039, 0.007281102562224828]",0.06323122371145139,0.0,0.390728612533839,0.015049519530940678,0.776,0.0,0.0,0.9666666666666667,0.0,paramagnetic,435,132.1994779903503,8.965395010445937
deepseek-r1-distill-qwen-7b,4,2.5,layer_mid,30,0,0.0,0.03745714746577712,"[0.029630615022380336, 0.0450607885571139]",0.006749178593428272,"[0.00583543284003495, 0.007761990219054447]",0.0695567692521301,0.0,0.3966778927148787,0.017511874444437612,0.498,0.0,0.0,1.0,0.0,paramagnetic,435,133.1957846838001,11.520635449506534
deepseek-r1-distill-qwen-7b,4,3.0,layer_mid,30,0,0.0,0.04648125907964115,"[0.03894447266709044, 0.05454251015984934]",0.0065963668176345575,"[0.005407338463355553, 0.007781185547201713]",0.07170461750080358,0.0,0.3189638708519906,0.01681852715159705,0.57,0.0,0.0,1.0,0.0,paramagnetic,435,130.70039422392338,8.100308227254962
